#TYPE System.Management.Automation.PSCustomObject
"PokemonId","Name","Count","Rate","Rarity"
"26","Raichu","290","0.000247129042264179","Common"
"12","Butterfree","280","0.000238607351151621","Common"
"76","Golem","279","0.000237755182040366","Common"
"5","Charmeleon","277","0.000236050843817854","Common"
"141","Kabutops","275","0.000234346505595342","Common"
"122","Mr. Mime","232","0.000197703233811343","Common"
"68","Machamp","227","0.000193442388255064","Common"
"89","Muk","218","0.000185772866253762","Common"
"97","Hypno","200","0.000170433822251158","Common"
"94","Gengar","162","0.000138051396023438","Common"
"67","Machoke","141","0.000120155844687066","Common"
"65","Alakazam","137","0.000116747168242043","Common"
"51","Dugtrio","137","0.000116747168242043","Common"
"53","Persian","135","0.000115042830019532","Common"
"71","Victreebel","97","8.26604037918117E-05","Common"
"110","Weezing","72","6.13561760104169E-05","Common"
"139","Omastar","45","3.83476100065106E-05","Common"
